"romaji","hiragana","definition","priority","type","japanese"
"kingu","キング","(monarchy) a king","2904","Noun","キング"
"akai","あかい","the color red","2905","Adjective","赤い"
"kyō","きょう","(honorific title) Sir, Lord","2906","Noun","卿"
"Shibutani","しぶたに","A surname​.","2907","Unknown","渋谷"
"gaku","がく","scholarship; learning; knowledge","2908","Noun","学"
"zokuhen","ぞくへん","(narratology) a sequel","2909","Noun","続編"
"fukugō","ふくごう","combined, composition","2910","Noun","複合"
"kishu","きしゅ","a jockey (one who rides racehorses competitively)","2911","Noun","騎手"
"rīdo","リード","leading","2912","Unknown","リード"
"ōaza","おおあざ","a larger section of a village, usually used in addresses of rural locations","2913","Noun","大字"
"gōdō","ごうどう","union, combination","2914","Unknown","合同"
"hontai","ほんたい","this machine","2915","Unknown","本体"
"tazusawaru","たずさわる","take part in","2916","Unknown","携わる"
"katsura","かつら","the katsura tree, Cercidiphyllum japonicum, also called the Japanese Judas tree","2917","Noun","桂"
"Error","","","2918","",""
"seiyō","せいよう","The West, western countries","2919","Noun","西洋"
"gendai","げんだい","original title (as opposed to a title of a translation)","2920","Unknown","原題"
"misshon","ミッション","Abbreviation of トランスミッション.","2921","Unknown","ミッション"
"ri","り","reason, logic","2922","Noun","理"
"tsukuru","つくる","Alternative form of 作る","2923","Verb","造る"
"zaseki","ざせき","seat","2924","Unknown","座席"
"imin","いみん","immigrant, emigrant (a person)","2925","Noun","移民"
"kazoeru","かぞえる","to count","2926","Unknown","数える"
"kōhō","こうほう","in the rear, behind","2927","Unknown","後方"
"kakutei","かくてい","decision","2928","Noun","確定"
"misu","みす","mistake, error","2929","Noun","ミス"
"byōsha","びょうしゃ","description; portrait","2930","Unknown","描写"
"fusegu","ふせぐ","defend (against); prevent (something)","2931","Verb","防ぐ"
"Osamu","おさむ","A male given name","2932","Proper noun","修"
"sofu","そふ","a grandfather","2933","Noun","祖父"
"kanshin","かんしん","concern, interest","2934","Noun","関心"
"taru","たる","suffice","2935","Unknown","足る"
"taiken","たいけん","experience","2936","Unknown","体験"
"kotaeru","こたえる","(intransitive) to answer a question","2937","Verb","答える"
"teiketsu","ていけつ","entrance into an agreement","2938","Unknown","締結"
"Noruwē","ノルウェー","Norway","2939","Proper noun","ノルウェー"
"Akira","あきら","A male given name","2940","Proper noun","輝"
"kai","かい","being at a lower position, a lower location","2941","Unknown","下位"
"ude","うで","an arm (of body)","2942","Noun","腕"
"zengo","ぜんご","front and behind","2943","Unknown","前後"
"Kita Chōsen","きたちょうせん","North Korea","2944","Proper noun","北朝鮮"
"Error","","","2945","",""
"chūjō","ちゅうじょう","(military) a lieutenant general","2946","Noun","中将"
"sukoshi","すこし","a little; slightly","2947","Adverb","少し"
"joō","じょおう","a queen regnant","2948","Noun","女王"
"kison","きそん","already existing","2949","Noun","既存"
"jōbu","じょうぶ","upper part","2950","Unknown","上部"
"irasuto","イラスト","illustration","2951","Noun","イラスト"
"ra","ら","lightweight fabric","2952","Noun","羅"
"komento","コメント","comment","2953","Noun","コメント"
"Iran","イラン","Iran","2954","Proper noun","イラン"
"barēbōru","バレーボール","volleyball","2955","Noun","バレーボール"
"dīzeru","ディーゼル","diesel","2956","Noun","ディーゼル"
"kongo","こんご","from now on","2957","Noun","今後"
"ka","か","passable","2958","Noun","可"
"bōken","ぼうけん","adventure","2959","Unknown","冒険"
"jitsuyō","じつよう","practical use; utility","2960","Unknown","実用"
"sento","セント","cent (various national currency, 1/100 of a unit)","2961","Unknown","セント"
"kōryaku","こうりゃく","the capture of an opponent or their territory","2962","Unknown","攻略"
"Kōchi","こうち","Kōchi prefecture","2963","Proper noun","高知"
"beru","ベル","bell (a type of small noise-making device)","2964","Noun","ベル"
"jushin","じゅしん","reception of a signal, such as a broadcast signal","2965","Unknown","受信"
"gei","げい","art, craft, technique, performance","2966","Noun","芸"
"ihan","いはん","violation","2967","Unknown","違反"
"komon","こもん","adviser, counselor, consultant","2968","Unknown","顧問"
"sōjū","そうじゅう","flying, piloting","2969","Noun","操縦"
"yane","やね","roof","2970","Unknown","屋根"
"kaishō","かいしょう","cancellation","2971","Noun","解消"
"tsutawaru","つたわる","to be conveyed, to be communicated","2972","Unknown","伝わる"
"taishō","たいしょう","(military) a general","2973","Noun","大将"
"Isamu","いさむ","A male given name","2974","Proper noun","勇"
"shinkō","しんこう","promotion","2975","Unknown","振興"
"guntai","ぐんたい","(military) armed forces such as the army, the navy, or the air force","2976","Unknown","軍隊"
"tenzuru","てんずる","turn, shift","2977","Unknown","転ずる"
"semaru","せまる","to approach","2978","Verb","迫る"
"kakō","かこう","manufacturing","2979","Noun","加工"
"hatsumei","はつめい","invention","2980","Noun","発明"
"teishō","ていしょう","suggestion, advocacy","2981","Noun","提唱"
"Error","","","2982","",""
"pan","パン","bread (a type of food)","2983","Noun","パン"
"shuzai","しゅざい","collecting data for news, covering an event","2984","Unknown","取材"
"uwamawaru","うわまわる","to surpass","2985","Unknown","上回る"
"sankō","さんこう","reference","2986","Unknown","参考"
"korekushon","コレクション","collection","2987","Noun","コレクション"
"Hōjō","ほうじょう","a place name, such as that of Hōjō City in Ehime Prefecture","2988","Unknown","北条"
"Makoto","まこと","A male given name","2989","Proper noun","展"
"shihō","しほう","justice, judiciary, a national function","2990","Unknown","司法"
"kōgi","こうぎ","protest, objection","2991","Unknown","抗議"
"tokkyo","とっきょ","letter patent; patent","2992","Noun","特許"
"kūbo","くうぼ","(aircraft) carrier","2993","Noun","空母"
"jimintō","じみんとう","Short for 自由民主党 (Jiyū Minshū-tō, “Liberal Democratic Party of Japan”).","2994","Noun","自民党"
"byōki","びょうき","sickness","2995","Unknown","病気"
"sōhō","そうほう","both sides, both parties","2996","Noun","双方"
"Error","","","2997","",""
"nashonaru","ナショナル","national","2998","Adjectival noun","ナショナル"
"zettai","ぜったい","absolute","2999","Adjectival noun","絶対"
"sendan","せんだん","fleet","3000","Unknown","船団"
"kaikyō","かいきょう","strait, channel","3001","Noun","海峡"
"kinkyū","きんきゅう","urgent, pressing","3002","Adjectival noun","緊急"
"keirin","けいりん","keirin","3003","Unknown","競輪"
"juyō","じゅよう","need, requirement","3004","Unknown","需要"
"Ashikaga","あしかが","Ashikaga, a city in Tochigi Prefecture","3005","Unknown","足利"
"daitai","だいたい","substitution","3006","Unknown","代替"
"jissō","じっそう","package; implementation; mounting; insertion (of equipment)","3007","Unknown","実装"
"ikaru","いかる","to get angry, to anger","3008","Unknown","怒る"
"kisaki","きさき","queen, empress","3009","Noun","后"
"tōtatsu","とうたつ","arrival","3010","Noun","到達"
"Ehime","えひめ","Ehime prefecture","3011","Proper noun","愛媛"
"songai","そんがい","damage","3012","Noun","損害"
"ichiren","いちれん","a series, a chain of something","3013","Unknown","一連"
"Aruzenchin","アルゼンチン","Argentina","3014","Proper noun","アルゼンチン"
"doraibā","ドライバー","driver, a person who drives a vehicle","3015","Unknown","ドライバー"
"shūryō","しゅうりょう","completion of a course of study","3016","Unknown","修了"
"reigai","れいがい","exception","3017","Noun","例外"
"hare","はれ","Alternative form of 晴れ","3018","Noun","晴"
"dokutoku","どくとく","unique, peculiar (to someone)","3019","Adjectival noun","独特"
"shumi","しゅみ","a hobby (activity done for enjoyment in spare time)","3020","Noun","趣味"
"heikō","へいこう","going side by side","3021","Unknown","並行"
"kakomu","かこむ","to encircle; to surround; to place things around something","3022","Unknown","囲む"
"kaisoku","かいそく","fast","3023","Unknown","快速"
"naito","ナイト","night","3024","Noun","ナイト"
"senryoku","せんりょく","military power","3025","Unknown","戦力"
"noriireru","のりいれる","drive or ride into","3026","Verb","乗り入れる"
"mitsudo","みつど","density","3027","Unknown","密度"
"kaga","かが","light","3028","Noun","影"
"-tō","とう","buildings","3029","Counter","棟"
"sentō","せんとう","head, front, lead, first","3030","Noun","先頭"
"kēburu","ケーブル","cable (a wire or rope)","3031","Unknown","ケーブル"
"saihen","さいへん","restructuring, realignment","3032","Noun","再編"
"mainichi","まいにち","every day; daily","3033","Adverb","毎日"
"nogareru","のがれる","escape","3034","Verb","逃れる"
"aitai","あいたい","confrontation, head-to-head","3035","Adjectival noun","相対"
"apurikēshon","アプリケーション","(computing) application (a computer program)","3036","Unknown","アプリケーション"
"osou","おそう","to attack, to combat","3037","Unknown","襲う"
"dōjitsu","どうじつ","the same day","3038","Unknown","同日"
"jōei","じょうえい","a film screening","3039","Unknown","上映"
"kyōsō","きょうそう","competition; contest","3040","Noun","競争"
"shison","しそん","descendant, scion","3041","Noun","子孫"
"shūdōin","しゅうどういん","(Catholic) An abbey; a monastery; a cloister","3042","Noun","修道院"
"bunkai","ぶんかい","disassembly; breaking down","3043","Noun","分解"
"Error","","","3044","",""
"kukaku","くかく","a section, especially a district of area or a lot of land","3045","Noun","区画"
"kitō","きとう","(mechanics) cylinder (part of an engine)","3046","Noun","気筒"
"shiba","しば","grass, turf","3047","Noun","芝"
"kimi","きみ","lord","3048","Noun","君"
"nin'i","にんい","arbitrary, as one wants or thinks","3049","Adjectival noun","任意"
"renshō","れんしょう","successive victories","3050","Unknown","連勝"
"hakkutsu","はっくつ","an excavation","3051","Noun","発掘"
"shintai","しんたい","(anatomy) body","3052","Noun","身体"
"Firipin","フィリピン","the Philippines","3053","Proper noun","フィリピン"
"kuria","クリア","clear","3054","Unknown","クリア"
"rekōdingu","レコーディング","recording of sound","3055","Unknown","レコーディング"
"ikkan","いっかん","link in a series of events or part of a plan","3056","Unknown","一環"
"Kagawa","かがわ","Kagawa prefecture","3057","Proper noun","香川"
"doyō","どよう","(archaic) planet Saturn","3058","Noun","土曜"
"hikiokosu","ひきおこす","cause, bring about","3059","Unknown","引き起こす"
"jakkan","じゃっかん","a few, some","3060","Noun","若干"
"kakusu","かくす","to hide, to conceal","3061","Unknown","隠す"
"furu","ふる","to shake; (of a hand or flag) to wave; (of a tail) to wag; (of a baseball bat) to swing; to move something back and forth in a circular motion","3062","Unknown","振る"
"yū","ゆう","enough, amply","3063","Adverb","優"
"suisen","すいせん","recommendation","3064","Unknown","推薦"
"sentan","せんたん","pointed end","3065","Noun","先端"
"haisha","はいしゃ","a disused car","3066","Noun","廃車"
"supīdo","スピード","speed","3067","Unknown","スピード"
"yosu","よす","to cease, to abolish","3068","Unknown","よす"
"kaisatsu","かいさつ","examination of tickets","3069","Noun","改札"
"heiya","へいや","plain (an expanse of land with relatively low relief)","3070","Noun","平野"
"itaku","いたく","charge, trust, consignment","3071","Unknown","委託"
"modosu","もどす","return, put back","3072","Unknown","戻す"
"zaijū","ざいじゅう","living in a certain place, often a foreign country; residence","3073","Noun","在住"
